id;color;modelo;marca;anio;precio
1;Azul;open-source;Terrenos invoice Guantes;2021-04-13T16:25:50;24634
2;Negro;withdrawal portal programming;Account artificial Compartible;2021-04-13T14:47:54;62467
3;Morado;Exclusivo Ladrillo e-markets;visionary estructura;2021-04-13T14:11:15;64270
4;Verde;Plástico;Berkshire flexibilidad;2021-04-13T23:11:04;50730
5;Azul;deliver Cine customized;Ladrillo Serbian Operativo;2021-04-14T08:01:47;57683
6;Morado;invoice aprovechar encriptar;Director input Checking;2021-04-14T05:25:40;60974
7;Amarillo;International;unleash invoice EXE;2021-04-13T10:08:50;25773
8;Violeta;reboot Administrador;Account;2021-04-13T17:03:16;65304
9;Amarillo;invoice Hogar synergies;Borders eyeballs;2021-04-13T19:07:02;17435
10;Amarillo;mano;virtual Configurable;2021-04-13T09:02:29;58198
