id;color;modelo;marca;anio;precio
1;Amarillo;copying Baleares Tunez;multiestado multimedia Lari;2021-04-14T01:19:55;69212
2;Gris;Salud;Principado La Versatil;2021-04-13T17:00:19;3579
3;Rojo;Account optimizada Ladrillo;aggregate;2021-04-13T22:33:08;29663
4;Morado;Inversor;Dobra Sri;2021-04-14T07:47:20;34174
5;Violeta;integrate;conjunto;2021-04-14T04:21:37;7046
6;Verde;Informática;capacidad Ergonómico;2021-04-13T09:43:38;27685
7;Azul;Comodos;deposit;2021-04-14T00:42:49;21013
8;Gris;en;Adelante;2021-04-13T18:02:44;83609
9;Negro;PCI circuit;Cantabria Panamá multi-byte;2021-04-13T21:40:33;81975
10;Morado;XML Rojo;architect;2021-04-13T09:52:16;80426
